head,head_type,rel,tail,tail_type,position,time_text,source
朱德,Person,HELD_POSITION,中央纪律检查委员会,Organization,书记,1949年11月9日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,HELD_POSITION,国防委员会,Organization,主席,1954年9月15日-28日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,HELD_POSITION,中央军事委员会,Organization,主席,1954年9月28日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
新疆军区遵照军委总参谋部8月6日的批复公布成立新疆军区生产建设兵团,Event,FOUNDED,新疆军区,Organization,,1954年10月7日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
周恩来率中国代表团出席在印度尼西亚万隆召开的有29个国家参加的亚非会议,Event,OCCURRED_IN,印度,Location,,1955年4月18日-24日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
周恩来,Person,AUTHORED,关于知识分子问题的报告,Document,,1956年1月14日-20日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,论十大关系,Document,,1956年4月25日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,如何处理人民内部的矛盾,Document,,1957年2月27日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
人民英雄纪念碑在天安门广场建成,Event,OCCURRED_IN,天安门,Location,,1958年4月22日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局扩大会议在北戴河召开,Event,OCCURRED_IN,北戴河,Location,,1958年8月17日-30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局扩大会议在江西庐山召开,Event,OCCURRED_IN,江西,Location,,1959年7月2日-8月1日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
刘少奇,Person,AUTHORED,中华人民共和国主席特赦令,Document,,1959年9月17日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
第一拖拉机制造厂在河南洛阳建成投产,Event,OCCURRED_IN,河南,Location,,1959年11月1日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央工作会议在广州召开,Event,OCCURRED_IN,广州,Location,,1961年3月15日-23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
周恩来,Person,AUTHORED,论知识分子问题,Document,,1962年3月2日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第八届中央委员会第十一次全体会议,Meeting,PRODUCED,中国共产党中央委员会关于无产阶级文化大革命的决定,Document,,1966年5月4日-26日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国政府和坦桑尼亚、赞比亚两国政府在北京签订关于修建坦桑尼亚-赞比亚铁路的协定,Event,OCCURRED_IN,北京,Location,,1967年9月5日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
邓小平,Person,AUTHORED,解放思想，实事求是，团结一致向前看,Document,,1978年11月10日-12月15日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
邓小平,Person,AUTHORED,坚持四项基本原则,Document,,1979年1月18日-4月3日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
邓小平,Person,AUTHORED,目前的形势和任务,Document,,1980年1月16日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
邓小平,Person,AUTHORED,党和国家领导制度的改革,Document,,1980年8月18日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国女排在日本大阪举行的第三届世界杯女子排球赛上七战七捷，首次获得世界冠军,Event,OCCURRED_IN,日本,Location,,1981年11月7日-16日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国人民武装警察部队总部在北京成立,Event,OCCURRED_IN,北京,Location,,1983年4月5日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
第十一届亚洲运动会在北京举行,Event,OCCURRED_IN,北京,Location,,1990年9月22日-10月7日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
全国拥军优属、拥政爱民工作会议在福建福州召开,Event,OCCURRED_IN,福建,Location,,1991年1月10日-16日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
江泽民出席在美国西雅图召开的亚太经合组织第一次领导人非正式会议并发表讲话,Event,OCCURRED_IN,美国,Location,,1993年11月20日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
江泽民,Person,AUTHORED,为促进祖国统一大业的完成而继续奋斗,Document,,1995年1月30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中英两国政府香港政权交接仪式在香港举行，宣告中国政府对香港恢复行使主权,Event,OCCURRED_IN,香港,Location,,1997年6月30日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中葡两国政府澳门政权交接仪式在澳门举行，宣告中国政府对澳门恢复行使主权,Event,OCCURRED_IN,澳门,Location,,1999年12月19日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
博鳌亚洲论坛成立大会在海南博鳌举行,Event,OCCURRED_IN,海南,Location,,2001年2月27日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
青藏铁路开工典礼在青海格尔木和西藏拉萨同时举行,Event,OCCURRED_IN,青海,Location,,2001年6月29日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
亚太经合组织第九次领导人非正式会议在上海召开,Event,OCCURRED_IN,上海,Location,,2001年10月21日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共中央总书记胡锦涛在北京同中国国民党主席连战举行正式会谈,Event,OCCURRED_IN,北京,Location,,2005年4月29日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
习近平,Person,LED,习近平主持召开座谈会听取京津冀协同发展专题汇报，提出实现京津冀协同发展是一个重大国家战略,Event,,2014年2月26日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
亚洲相互协作与信任措施会议第四次峰会在上海召开,Event,OCCURRED_IN,上海,Location,,2014年5月21日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
全军政治工作会议在福建古田召开,Event,OCCURRED_IN,福建,Location,,2014年10月30日-11月2日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
亚太经合组织第22次领导人非正式会议在北京召开,Event,OCCURRED_IN,北京,Location,,2014年11月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
首届世界互联网大会在浙江乌镇召开,Event,OCCURRED_IN,浙江,Location,,2014年11月19日-21日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
澜沧江-湄公河合作首次领导人会议在海南三亚召开，正式启动澜湄合作机制,Event,OCCURRED_IN,海南,Location,,2016年3月23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
习近平,Person,LED,习近平主持召开网络安全和信息化工作座谈会，强调在践行新发展理念上先行一步，让互联网更好造福国家和人民,Event,,2016年4月19日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
首次“1+6”圆桌对话会在北京召开,Event,OCCURRED_IN,北京,Location,,2016年7月22日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
首届“一带一路”国际合作高峰论坛在北京举行,Event,OCCURRED_IN,北京,Location,,2017年5月14日-15日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
金砖国家领导人第九次会晤在福建厦门举行,Event,OCCURRED_IN,福建,Location,,2017年9月3日-5日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党与世界政党高层对话会在北京召开,Event,OCCURRED_IN,北京,Location,,2017年11月30日-12月3日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
